Single Thread Sorting Time: 7787.11[ms]
Single Thread Speed: 1236.92[MB/s]

                     Distributed Sort, ms | MSD Sort, ms | Local Merge, ms | Local Partitioning, ms | Global Partitioning, ms | Buckets Determination, ms | Strings Exchange, ms | Strings Exchange Waiting, ms | Reading Data, ms | Writing Data, ms |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Node 1 (3143161)   |               899.43 |       214.79 |          521.40 |                   0.83 |                    0.20 |                      0.10 |                 8.07 |                        12.98 |          5890.24 |             0.00 |
Node 2 (3131203)   |               694.71 |       339.30 |          316.39 |                   1.66 |                   13.64 |                      0.31 |                10.88 |                        10.52 |          5850.26 |             0.00 |
Node 3 (3123517)   |               696.60 |       338.46 |          317.64 |                   1.66 |                   13.69 |                      0.14 |                11.01 |                        10.99 |          5921.97 |             0.00 |
Node 4 (3120696)   |               704.11 |       342.88 |          325.68 |                   0.83 |                    9.96 |                      0.08 |                 6.89 |                        15.53 |          5919.91 |             0.00 |
Node 5 (3121910)   |               691.67 |       226.06 |          312.72 |                   0.85 |                  127.57 |                      0.11 |                 8.18 |                        13.86 |          5870.07 |             0.00 |
Node 6 (3122895)   |               706.59 |       219.95 |          328.11 |                   0.87 |                  133.06 |                      0.26 |                13.72 |                         8.00 |          5916.16 |             0.00 |
Node 7 (3128731)   |               695.73 |       224.61 |          317.67 |                   0.83 |                  128.65 |                      0.26 |                 9.36 |                        12.34 |          5893.69 |             0.00 |
Node 8 (3121683)   |               710.49 |       222.16 |          332.15 |                   0.87 |                  131.11 |                      0.44 |                 8.88 |                        10.91 |          5872.27 |             0.00 |
Node 9 (3120557)   |               906.58 |       342.18 |          528.81 |                   0.84 |                   10.61 |                      0.09 |                 8.65 |                        13.37 |          5855.04 |             0.00 |
Node 10 (3122190)  |               693.84 |       338.88 |          314.70 |                   1.66 |                   13.66 |                      0.28 |                11.40 |                        10.12 |          5916.88 |             0.00 |
Node 11 (3130256)  |               699.15 |       347.43 |          321.44 |                   1.67 |                    5.32 |                      0.16 |                12.56 |                         8.24 |          5865.99 |             0.00 |
Node 12 (3117791)  |               896.10 |       190.10 |          517.28 |                   0.84 |                  162.57 |                      0.14 |                20.02 |                         2.18 |          5510.88 |             0.00 |
Node 13 (3124683)  |               713.35 |       342.79 |          335.21 |                   1.44 |                   10.03 |                      0.43 |                12.25 |                         8.48 |          5900.40 |             0.00 |
Node 14 (3123220)  |               690.61 |       347.65 |          312.42 |                   1.67 |                    5.34 |                      0.08 |                12.38 |                         9.60 |          5795.87 |             0.00 |
Node 15 (3125385)  |               702.28 |       217.69 |          323.60 |                   0.83 |                  135.82 |                      0.11 |                13.62 |                         7.96 |          5914.74 |             0.00 |
Node 16 (3118932)  |               906.49 |       220.34 |          527.85 |                   0.83 |                  133.07 |                      0.09 |                 6.50 |                        16.07 |          5853.52 |             0.00 |
Node 17 (3123628)  |               688.13 |       344.22 |          309.71 |                   0.84 |                    8.75 |                      0.08 |                11.85 |                         8.51 |          4907.79 |             0.00 |
Node 18 (3114332)  |               906.59 |       181.14 |          527.55 |                   0.84 |                  172.14 |                      0.34 |                 3.78 |                        16.38 |          5903.79 |             0.00 |
Node 19 (3128386)  |               904.36 |       212.02 |          525.49 |                   0.84 |                  141.48 |                      0.10 |                 7.56 |                        14.41 |          5909.48 |             0.00 |
Node 20 (3129100)  |               901.97 |       180.89 |          524.13 |                   0.84 |                  172.94 |                      0.13 |                 3.27 |                        18.36 |          5920.61 |             0.00 |
