Single Thread Sorting Time: 5872.93[ms]
Single Thread Speed: 340.886[MB/s]

                     Distributed Sort, ms | MSD Sort, ms | Local Merge, ms | Local Partitioning, ms | Global Partitioning, ms | Buckets Determination, ms | Strings Exchange, ms | Strings Exchange Waiting, ms | Reading Data, ms | Writing Data, ms |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Node 1 (3139329)   |               794.53 |       306.24 |          458.89 |                   0.82 |                    0.19 |                      0.24 |                14.30 |                         1.67 |           813.84 |             0.00 |
Node 2 (3133682)   |               866.71 |       202.25 |          531.53 |                   0.88 |                  111.87 |                      0.11 |                10.51 |                         7.32 |           861.89 |             0.00 |
Node 3 (3123020)   |               805.50 |       301.89 |          470.02 |                   0.85 |                   12.66 |                      0.12 |                15.49 |                         2.45 |           816.99 |             0.00 |
Node 4 (3119706)   |               795.62 |       304.82 |          459.65 |                   1.60 |                    9.33 |                      0.09 |                12.70 |                         5.91 |           863.90 |             0.00 |
Node 5 (3129347)   |               867.75 |       314.13 |          531.96 |                   0.88 |                    0.63 |                      0.36 |                14.74 |                         0.00 |           891.31 |             0.00 |
Node 6 (3127311)   |               641.25 |       310.00 |          305.41 |                   1.40 |                    3.03 |                      0.85 |                13.31 |                         0.19 |           881.15 |             0.00 |
Node 7 (3122589)   |               638.60 |       313.81 |          302.91 |                   0.82 |                    0.21 |                      0.35 |                16.14 |                         0.70 |           877.63 |             0.00 |
Node 8 (3129605)   |               792.27 |       313.07 |          456.86 |                   1.42 |                    0.69 |                      0.13 |                15.02 |                         3.15 |           874.95 |             0.00 |
Node 9 (3112756)   |               869.68 |       151.62 |          534.31 |                   0.84 |                  162.47 |                      0.12 |                 2.78 |                        15.19 |           923.66 |             0.00 |
Node 10 (3122338)  |               810.78 |       153.97 |          475.54 |                   0.82 |                  160.10 |                      0.10 |                 2.71 |                        15.36 |           915.53 |             0.00 |
Node 11 (3125712)  |               623.54 |       264.49 |          288.19 |                   1.43 |                   49.81 |                      0.08 |                 5.34 |                        13.24 |           921.06 |             0.00 |
Node 12 (3120260)  |               799.50 |       168.83 |          463.80 |                   0.83 |                  146.00 |                      0.16 |                 6.03 |                         9.64 |           875.43 |             0.00 |
Node 13 (3119452)  |               795.50 |       168.56 |          459.94 |                   0.84 |                  146.51 |                      0.32 |                 4.00 |                         9.12 |           852.48 |             0.00 |
Node 14 (3129709)  |               887.26 |       171.46 |          552.08 |                   0.85 |                  143.70 |                      0.11 |                 6.06 |                         9.81 |           863.78 |             0.00 |
Node 15 (3123625)  |               809.02 |       169.43 |          473.16 |                   0.84 |                  145.00 |                      0.10 |                 5.39 |                        12.33 |           898.93 |             0.00 |
Node 16 (3122108)  |               800.63 |       170.70 |          464.80 |                   0.85 |                  143.08 |                      0.10 |                 4.64 |                        13.67 |           897.17 |             0.00 |
Node 17 (3121326)  |               865.13 |       182.31 |          530.07 |                   0.83 |                  131.58 |                      0.34 |                 9.76 |                         6.84 |           867.03 |             0.00 |
Node 18 (3122806)  |               634.97 |       182.23 |          299.78 |                   0.85 |                  133.03 |                      0.28 |                10.00 |                         7.37 |           825.79 |             0.00 |
Node 19 (3125255)  |               636.82 |       180.37 |          300.94 |                   0.84 |                  134.68 |                      0.09 |                 9.89 |                         7.90 |           846.82 |             0.00 |
Node 20 (3119617)  |               630.66 |       182.43 |          295.38 |                   0.84 |                  132.55 |                      0.38 |                 9.93 |                         6.51 |           862.62 |             0.00 |
Node 21 (3127505)  |               650.36 |       300.09 |          314.80 |                   1.58 |                   13.93 |                      0.10 |                12.98 |                         5.75 |           880.48 |             0.00 |
Node 22 (3125106)  |               625.16 |       181.06 |          289.92 |                   0.87 |                  133.52 |                      0.40 |                 9.50 |                         5.84 |           844.59 |             0.00 |
Node 23 (3119165)  |               895.32 |       182.69 |          559.35 |                   0.88 |                  132.00 |                      0.12 |                 9.43 |                         8.59 |           789.54 |             0.00 |
Node 24 (3124053)  |               796.99 |       280.15 |          461.63 |                   1.38 |                   34.35 |                      0.41 |                 9.54 |                         5.48 |           850.79 |             0.00 |
Node 25 (3123267)  |               621.65 |       179.09 |          286.54 |                   0.84 |                  135.52 |                      0.09 |                 9.62 |                         8.19 |           956.29 |             0.00 |
Node 26 (3125460)  |               642.68 |       312.94 |          306.95 |                   1.18 |                    1.47 |                      0.30 |                15.31 |                         0.34 |           939.75 |             0.00 |
Node 27 (3122024)  |               628.33 |       310.37 |          292.61 |                   1.66 |                    3.32 |                      0.14 |                14.84 |                         2.94 |           940.63 |             0.00 |
Node 28 (3123823)  |               657.80 |       312.73 |          322.23 |                   1.69 |                    0.98 |                      0.69 |                12.98 |                         0.91 |           950.44 |             0.00 |
Node 29 (3122615)  |               648.19 |       278.75 |          313.06 |                   1.67 |                   34.66 |                      0.07 |                11.30 |                         6.23 |           945.31 |             0.00 |
Node 30 (3128321)  |               633.05 |       199.66 |          297.68 |                   0.84 |                  115.02 |                      0.43 |                10.25 |                         3.57 |           940.57 |             0.00 |
Node 31 (3129379)  |               654.03 |       311.72 |          319.07 |                   0.85 |                    1.75 |                      0.14 |                15.85 |                         0.42 |           947.48 |             0.00 |
Node 32 (3139729)  |               658.42 |       263.55 |          323.27 |                   1.65 |                   50.08 |                      0.09 |                 8.18 |                         9.78 |           954.72 |             0.00 |
=======================================================================================================================================================================================================================================================
Time max, ms       |               895.32 |       314.13 |          559.35 |                   1.69 |                  162.47 |                      0.85 |                16.14 |                        15.36 |           956.29 |             0.00 |
Speed, MB/s        |              2236.86 |       199.24 |          111.68 |
