Single Thread Sorting Time: 6560.84[ms]
Single Thread Speed: 305.144[MB/s]

                     Distributed Sort, ms | MSD Sort, ms | Local Merge, ms | Local Partitioning, ms | Global Partitioning, ms | Buckets Determination, ms | Strings Exchange, ms | Strings Exchange Waiting, ms | Reading Data, ms | Writing Data, ms |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Node 1 (2102010)   |               792.22 |       209.04 |          546.73 |                   0.58 |                    0.35 |                      1.07 |                 7.13 |                         0.00 |          1521.64 |             0.00 |
Node 2 (2083944)   |               789.59 |       224.16 |          543.85 |                   1.02 |                    3.76 |                      0.10 |                10.39 |                         0.82 |          1530.92 |             0.00 |
Node 3 (2088352)   |               788.74 |       225.11 |          542.96 |                   1.12 |                    2.12 |                      0.43 |                10.33 |                         0.62 |          1609.05 |             0.00 |
Node 4 (2085113)   |               786.49 |       225.05 |          541.61 |                   1.12 |                    2.14 |                      0.44 |                11.37 |                         2.36 |          1612.03 |             0.00 |
Node 5 (2082391)   |               783.63 |       220.41 |          537.15 |                   1.12 |                    5.29 |                      0.13 |                 6.06 |                         9.02 |          1632.00 |             0.00 |
Node 6 (2087049)   |               786.75 |       217.75 |          541.91 |                   1.01 |                   10.02 |                      0.24 |                11.29 |                         3.10 |          1588.39 |             0.00 |
Node 7 (2075719)   |               774.95 |       179.87 |          529.27 |                   1.03 |                   48.13 |                      0.53 |                 9.57 |                         0.24 |          1573.48 |             0.00 |
Node 8 (2088833)   |               787.64 |       225.06 |          541.74 |                   1.12 |                    2.60 |                      1.30 |                 8.40 |                         0.34 |          1586.75 |             0.00 |
Node 9 (2081282)   |               783.15 |       219.02 |          538.35 |                   0.56 |                    2.31 |                      0.09 |                 6.70 |                         8.26 |          1592.66 |             0.00 |
Node 10 (2084629)  |               783.20 |       221.73 |          537.22 |                   1.00 |                    6.03 |                      0.57 |                 8.49 |                         0.56 |          1532.50 |             0.00 |
Node 11 (2078356)  |               780.43 |       225.58 |          535.09 |                   1.12 |                    1.89 |                      0.10 |                10.85 |                         1.08 |          1610.76 |             0.00 |
Node 12 (2085460)  |               781.33 |       205.01 |          534.55 |                   1.13 |                   22.84 |                      0.28 |                10.04 |                         4.49 |          1541.57 |             0.00 |
Node 13 (2079299)  |               778.68 |       204.35 |          531.62 |                   1.13 |                   22.88 |                      0.12 |                 4.14 |                        10.72 |          1613.34 |             0.00 |
Node 14 (2076228)  |               780.30 |       223.83 |          535.21 |                   1.01 |                    3.96 |                      0.87 |                 9.23 |                         1.35 |          1607.47 |             0.00 |
Node 15 (2088601)  |               773.48 |       179.89 |          527.08 |                   0.56 |                   47.34 |                      0.16 |                 2.97 |                         8.52 |          1622.67 |             0.00 |
Node 16 (2078678)  |               778.16 |       201.51 |          531.71 |                   1.03 |                   25.93 |                      0.56 |                 4.37 |                         4.90 |          1600.13 |             0.00 |
Node 17 (2087115)  |               775.19 |       203.80 |          529.19 |                   1.01 |                   23.04 |                      0.11 |                 4.87 |                         9.63 |          1552.91 |             0.00 |
Node 18 (2078779)  |               783.31 |       223.03 |          537.01 |                   1.03 |                    4.62 |                      0.13 |                 8.86 |                         6.21 |          1595.85 |             0.00 |
Node 19 (2084496)  |               785.70 |       223.05 |          538.56 |                   1.12 |                    2.27 |                      0.12 |                11.25 |                         2.55 |          1622.89 |             0.00 |
Node 20 (2077737)  |               783.03 |       225.92 |          536.16 |                   1.12 |                    1.96 |                      0.17 |                10.12 |                         4.70 |          1565.42 |             0.00 |
Node 21 (2081915)  |               772.64 |       201.67 |          527.16 |                   0.58 |                   23.48 |                      0.37 |                 4.31 |                         6.05 |          1624.81 |             0.00 |
Node 22 (2085474)  |               777.95 |       225.57 |          531.74 |                   1.13 |                    0.38 |                      0.23 |                 9.46 |                         0.23 |          1621.48 |             0.00 |
Node 23 (2080707)  |               781.36 |       219.06 |          533.96 |                   0.59 |                    6.47 |                      0.19 |                 9.65 |                         4.80 |          1561.07 |             0.00 |
Node 24 (2079098)  |               780.28 |       223.51 |          532.82 |                   1.02 |                    4.36 |                      0.26 |                11.89 |                         2.41 |          1587.08 |             0.00 |
Node 25 (2082796)  |               781.14 |       224.40 |          533.59 |                   1.12 |                    2.62 |                      0.23 |                11.27 |                         1.17 |          1598.63 |             0.00 |
Node 26 (2076901)  |               778.25 |       223.85 |          533.32 |                   0.57 |                    3.54 |                      0.35 |                11.94 |                         2.12 |          1474.30 |             0.00 |
Node 27 (2080922)  |               778.77 |       226.22 |          533.18 |                   0.56 |                    1.34 |                      1.10 |                 9.25 |                         0.57 |          1590.88 |             0.00 |
Node 28 (2086434)  |               786.49 |       201.45 |          539.23 |                   1.02 |                   25.97 |                      0.15 |                 4.38 |                        10.17 |          1580.92 |             0.00 |
Node 29 (2075004)  |               791.41 |       225.36 |          544.28 |                   1.02 |                    2.11 |                      0.15 |                10.82 |                         2.86 |          1570.26 |             0.00 |
Node 30 (2083178)  |               784.94 |       225.97 |          540.01 |                   1.09 |                    1.90 |                      0.19 |                11.66 |                         1.50 |          1516.53 |             0.00 |
Node 31 (2085301)  |               771.45 |       172.11 |          526.90 |                   0.87 |                   54.22 |                      0.16 |                 2.79 |                        11.73 |          1591.50 |             0.00 |
Node 32 (2077819)  |               785.78 |       226.75 |          540.29 |                   1.13 |                    0.41 |                      0.80 |                11.49 |                         1.05 |          1575.60 |             0.00 |
Node 33 (2082413)  |               772.11 |       225.62 |          525.73 |                   1.11 |                    1.86 |                      0.29 |                 2.95 |                         9.02 |          1552.97 |             0.00 |
Node 34 (2086701)  |               786.33 |       223.88 |          539.35 |                   0.57 |                    2.95 |                      0.20 |                11.15 |                         3.11 |          1577.09 |             0.00 |
Node 35 (2079610)  |               782.91 |       221.33 |          537.55 |                   1.12 |                    5.33 |                      1.00 |                 7.92 |                         1.00 |          1562.36 |             0.00 |
Node 36 (2080992)  |               776.63 |       201.57 |          530.64 |                   1.07 |                   25.96 |                      0.46 |                 4.30 |                         5.05 |          1543.83 |             0.00 |
Node 37 (2082034)  |               750.37 |       219.65 |          503.77 |                   1.01 |                    7.33 |                      1.00 |                 3.96 |                         4.86 |          1552.79 |             0.00 |
