Single Thread Sorting Time: 7991.63[ms]
Single Thread Speed: 1205.26[MB/s]

                     Distributed Sort, ms | MSD Sort, ms | Local Merge, ms | Local Partitioning, ms | Global Partitioning, ms | Buckets Determination, ms | Strings Exchange, ms | Strings Exchange Waiting, ms | Reading Data, ms | Writing Data, ms |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Node 1 (4182564)   |               833.89 |       295.40 |          518.59 |                   1.09 |                    0.13 |                      0.06 |                13.88 |                         1.54 |          5527.93 |             0.00 |
Node 2 (4166730)   |               827.27 |       292.31 |          512.31 |                   1.13 |                    5.04 |                      0.15 |                14.47 |                         0.00 |          5527.46 |             0.00 |
Node 3 (4167777)   |               834.73 |       293.76 |          519.57 |                   1.11 |                    3.55 |                      0.30 |                14.32 |                         0.29 |          5504.54 |             0.00 |
Node 4 (4165642)   |               832.64 |       292.09 |          517.59 |                   1.10 |                    5.37 |                      0.08 |                14.00 |                         1.48 |          5541.08 |             0.00 |
Node 5 (4161528)   |               832.25 |       293.68 |          517.18 |                   1.11 |                    3.91 |                      0.36 |                13.68 |                         0.36 |          5539.80 |             0.00 |
Node 6 (4165850)   |               830.16 |       292.01 |          515.01 |                   1.10 |                    5.67 |                      0.28 |                14.55 |                         0.14 |          5494.21 |             0.00 |
Node 7 (4159943)   |               826.95 |       296.35 |          512.03 |                   1.10 |                    1.49 |                      0.06 |                14.39 |                         0.71 |          5485.04 |             0.00 |
Node 8 (4169165)   |               831.48 |       294.14 |          516.38 |                   1.10 |                    2.94 |                      0.10 |                14.15 |                         0.60 |          5457.17 |             0.00 |
Node 9 (4167208)   |               834.14 |       294.74 |          518.70 |                   1.11 |                    3.15 |                      0.25 |                13.93 |                         0.50 |          5474.99 |             0.00 |
Node 10 (4158227)  |               831.06 |       272.30 |          516.21 |                   1.09 |                   24.97 |                      0.17 |                10.21 |                         4.60 |          5542.66 |             0.00 |
Node 11 (4170429)  |               816.25 |       242.68 |          500.96 |                   1.10 |                   54.52 |                      0.12 |                 4.40 |                        10.04 |          5540.35 |             0.00 |
Node 12 (4160805)  |               826.43 |       272.54 |          511.53 |                   1.09 |                   24.88 |                      0.30 |                10.36 |                         4.12 |          5472.98 |             0.00 |
Node 13 (4166236)  |               833.59 |       275.92 |          518.72 |                   1.12 |                   21.73 |                      0.07 |                 9.96 |                         5.27 |          5516.39 |             0.00 |
Node 14 (4160203)  |               825.98 |       275.05 |          510.75 |                   1.12 |                   22.56 |                      0.10 |                 9.03 |                         6.55 |          5512.09 |             0.00 |
Node 15 (4168511)  |               833.11 |       292.63 |          517.75 |                   1.10 |                    5.15 |                      0.26 |                14.30 |                         0.65 |          5546.91 |             0.00 |
Node 16 (4161142)  |               833.66 |       243.75 |          518.47 |                   1.10 |                   53.48 |                      0.12 |                 4.36 |                        10.18 |          5521.59 |             0.00 |
Node 17 (4158206)  |               834.79 |       295.09 |          519.38 |                   1.19 |                    2.69 |                      0.06 |                14.23 |                         1.23 |          5530.54 |             0.00 |
Node 18 (4168013)  |               830.70 |       293.80 |          515.76 |                   1.11 |                    3.53 |                      0.06 |                14.30 |                         1.04 |          5545.89 |             0.00 |
Node 19 (4167650)  |               828.98 |       294.59 |          513.86 |                   1.25 |                    2.68 |                      0.19 |                14.71 |                         0.35 |          5543.99 |             0.00 |
Node 20 (4168005)  |               814.66 |       282.04 |          499.41 |                   1.10 |                   15.51 |                      0.06 |                10.48 |                         4.40 |          5518.78 |             0.00 |
Node 21 (4162465)  |               834.25 |       297.51 |          518.87 |                   1.10 |                    0.26 |                      0.11 |                14.59 |                         0.61 |          5538.78 |             0.00 |
Node 22 (4170625)  |               828.80 |       296.16 |          513.77 |                   1.09 |                    1.63 |                      0.12 |                14.58 |                         0.58 |          5537.35 |             0.00 |
Node 23 (4167152)  |               829.47 |       297.11 |          514.13 |                   1.10 |                    0.16 |                      0.06 |                14.10 |                         1.28 |          5534.61 |             0.00 |
Node 24 (4185946)  |               828.18 |       272.75 |          512.91 |                   1.09 |                   24.78 |                      0.26 |                10.34 |                         4.12 |          5521.12 |             0.00 |
=======================================================================================================================================================================================================================================================
Time max, ms       |               834.79 |       297.51 |          519.57 |                   1.25 |                   54.52 |                      0.36 |                14.71 |                        10.18 |          5546.91 |             0.00 |
Speed, MB/s        |             11538.40 |      1348.98 |          772.65 |
