Single Thread Sorting Time: 7042.2[ms]
Single Thread Speed: 690.551[MB/s]

                     Distributed Sort, ms | MSD Sort, ms | Local Merge, ms | Local Partitioning, ms | Global Partitioning, ms | Buckets Determination, ms | Strings Exchange, ms | Strings Exchange Waiting, ms | Reading Data, ms | Writing Data, ms |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Node 1 (4183039)   |               786.63 |       345.43 |          379.09 |                   1.09 |                    0.17 |                      0.07 |                23.59 |                        18.93 |          2984.65 |             0.00 |
Node 2 (4166846)   |               894.41 |       351.99 |          486.94 |                   1.11 |                   10.77 |                      0.07 |                23.77 |                        18.21 |          3054.60 |             0.00 |
Node 3 (4164699)   |               891.28 |       319.14 |          483.48 |                   1.10 |                   44.10 |                      0.08 |                23.66 |                        18.40 |          3098.49 |             0.00 |
Node 4 (4172185)   |               779.36 |       246.77 |          372.03 |                   1.10 |                  116.38 |                      0.14 |                41.30 |                         0.29 |          3091.80 |             0.00 |
Node 5 (4163264)   |               782.31 |       229.02 |          374.61 |                   1.09 |                  133.95 |                      0.09 |                25.02 |                        17.00 |          3095.62 |             0.00 |
Node 6 (4167096)   |               807.52 |       267.88 |          400.09 |                   1.10 |                   95.26 |                      0.09 |                23.76 |                        18.54 |          3086.02 |             0.00 |
Node 7 (4160534)   |               780.34 |       270.59 |          372.63 |                   1.10 |                   92.16 |                      0.08 |                33.95 |                         8.02 |          3105.10 |             0.00 |
Node 8 (4167551)   |               778.20 |       321.62 |          370.72 |                   1.10 |                   41.08 |                      0.10 |                23.72 |                        17.68 |          3036.73 |             0.00 |
Node 9 (4166274)   |               894.31 |       309.63 |          486.63 |                   1.10 |                   53.42 |                      0.08 |                25.01 |                        16.63 |          2570.85 |             0.00 |
Node 10 (4152708)  |               895.08 |       299.87 |          487.78 |                   1.12 |                   62.77 |                      0.08 |                24.42 |                        17.25 |          3103.45 |             0.00 |
Node 11 (4165152)  |               775.77 |       362.62 |          368.22 |                   1.14 |                    0.24 |                      0.09 |                41.36 |                         0.00 |          3100.45 |             0.00 |
Node 12 (4165608)  |               801.17 |       315.92 |          393.76 |                   1.10 |                   47.16 |                      0.08 |                24.09 |                        17.92 |          3077.40 |             0.00 |
Node 13 (4163338)  |               803.14 |       240.23 |          395.73 |                   1.09 |                  122.69 |                      0.08 |                22.45 |                        19.38 |          3086.18 |             0.00 |
Node 14 (4167805)  |               914.96 |       339.04 |          507.44 |                   1.10 |                   23.83 |                      0.08 |                22.49 |                        19.21 |          3104.84 |             0.00 |
Node 15 (4166240)  |               789.68 |       237.42 |          381.81 |                   1.10 |                  125.84 |                      0.12 |                23.74 |                        18.03 |          3091.85 |             0.00 |
Node 16 (4166098)  |               805.12 |       342.09 |          397.30 |                   1.09 |                   20.72 |                      0.07 |                23.55 |                        18.37 |          3087.50 |             0.00 |
Node 17 (4161472)  |               796.37 |       312.98 |          388.75 |                   1.10 |                   50.34 |                      0.09 |                29.31 |                        12.12 |          3080.52 |             0.00 |
Node 18 (4163022)  |               784.54 |       296.93 |          376.79 |                   1.10 |                   65.90 |                      0.13 |                31.77 |                        10.47 |          3089.50 |             0.00 |
Node 19 (4164578)  |               777.08 |       303.56 |          369.58 |                   1.10 |                   59.73 |                      0.08 |                24.42 |                        17.69 |          3082.56 |             0.00 |
Node 20 (4167602)  |               781.28 |       305.91 |          373.65 |                   1.10 |                   56.68 |                      0.08 |                23.18 |                        18.68 |          3049.47 |             0.00 |
Node 21 (4168479)  |               891.61 |       293.74 |          483.81 |                   1.10 |                   68.96 |                      0.08 |                23.72 |                        18.41 |          3072.13 |             0.00 |
Node 22 (4167599)  |               826.67 |       349.12 |          418.83 |                   1.09 |                   13.87 |                      0.06 |                23.53 |                        18.30 |          3082.87 |             0.00 |
Node 23 (4167375)  |               893.62 |       243.42 |          486.05 |                   1.10 |                  119.52 |                      0.09 |                22.26 |                        19.52 |          3088.69 |             0.00 |
Node 24 (4181452)  |               792.42 |       264.22 |          385.05 |                   1.10 |                   98.39 |                      0.08 |                23.37 |                        19.08 |          3074.26 |             0.00 |
=======================================================================================================================================================================================================================================================
Time max, ms       |               914.96 |       362.62 |          507.44 |                   1.14 |                  133.95 |                      0.14 |                41.36 |                        19.52 |          3105.10 |             0.00 |
Speed, MB/s        |              5315.79 |       558.86 |          399.48 |
