Single Thread Sorting Time: 7781.47[ms]
Single Thread Speed: 624.946[MB/s]

                     Distributed Sort, ms | MSD Sort, ms | Local Merge, ms | Local Partitioning, ms | Global Partitioning, ms | Buckets Determination, ms | Strings Exchange, ms | Strings Exchange Waiting, ms | Reading Data, ms | Writing Data, ms |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Node 1 (2098870)   |               583.81 |       258.12 |          304.65 |                   1.00 |                    0.35 |                      0.87 |                 7.98 |                         1.22 |          2799.48 |             0.00 |
Node 2 (2089893)   |               744.25 |       256.31 |          464.78 |                   1.12 |                    3.56 |                      0.63 |                 8.15 |                         1.28 |          2855.64 |             0.00 |
Node 3 (2076740)   |               655.46 |       230.05 |          371.05 |                   1.13 |                   28.45 |                      0.14 |                 5.78 |                         9.06 |          2864.95 |             0.00 |
Node 4 (2091547)   |               808.47 |       253.99 |          528.83 |                   0.55 |                    3.52 |                      0.46 |                10.50 |                         1.35 |          2790.68 |             0.00 |
Node 5 (2087692)   |               808.90 |       226.89 |          531.35 |                   1.12 |                   29.75 |                      0.58 |                 5.71 |                         4.98 |          2765.31 |             0.00 |
Node 6 (2079484)   |               598.83 |       255.48 |          318.47 |                   1.00 |                    3.88 |                      0.12 |                 6.59 |                         8.49 |          3247.72 |             0.00 |
Node 7 (2083473)   |               835.58 |       190.06 |          558.36 |                   0.56 |                   67.28 |                      0.16 |                 2.94 |                        12.22 |          2804.80 |             0.00 |
Node 8 (2084487)   |               897.25 |       253.28 |          617.04 |                   1.11 |                    6.71 |                      1.24 |                 7.15 |                         0.55 |          2781.28 |             0.00 |
Node 9 (2083769)   |               767.23 |       258.60 |          487.47 |                   1.13 |                    0.39 |                      0.12 |                 6.37 |                         8.87 |          3233.94 |             0.00 |
Node 10 (2082879)  |               818.31 |       250.36 |          539.93 |                   1.12 |                    6.92 |                      0.52 |                11.21 |                         2.07 |          3252.34 |             0.00 |
Node 11 (2081844)  |               624.23 |       250.05 |          346.30 |                   0.57 |                    8.15 |                      0.23 |                10.28 |                         4.68 |          3258.00 |             0.00 |
Node 12 (2085079)  |               865.60 |       228.22 |          588.26 |                   1.12 |                   31.33 |                      0.13 |                 5.27 |                        10.11 |          3231.73 |             0.00 |
Node 13 (2074981)  |               659.14 |       252.49 |          381.82 |                   0.67 |                    7.69 |                      0.63 |                 7.76 |                         0.45 |          3184.99 |             0.00 |
Node 14 (2077645)  |               871.98 |       254.46 |          592.25 |                   0.55 |                    3.22 |                      1.15 |                10.12 |                         0.96 |          2760.30 |             0.00 |
